,sentence1,sentence2,Jaccard_score,USE_cosine_score,SBERT CrossEncoder_score
0,Primary sludge is pebbles and soil that settle down during primary treatment of sewage while activated sludge is the sediment of bacterial flocs in settling tank during biological treatment,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of  sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,62.5,91.25619,91.71539
1,Primary sludge is all solids like soil small pebbles etc Activated sludge is sediment of bacterial flocs,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,45.83333333333333,75.014984,83.92716
2,Soil and small pebbles that settle down in settling tank during primary treatment of sewage constitutes primary sludge and activated sludge consists of bacterial flocs in settling tank during biological treatment,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,65.38461538461539,90.482994,87.93873
3,Sludge is the sediment formed in the settling tank during the treatment of sewage,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,20.833333333333336,74.22747,73.26482
4,Activated sludge is formed by the bacterial flocs during biological treatment Primary sludge is formed of solids like soil small pebbles etc,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,46.15384615384615,74.17634,87.25113
5,Primary sludge and activated sludge are two different kinds of sediment got during the treatment of sewage The former is got during primary treatment of sewage while the latter is formed during biological treatment,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,25.806451612903224,67.97551,63.016624
6,Primary sludge is formed during the prmary treatment of sewage Activated sludge is formed during the biological treatment of sewage,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,25.92592592592593,63.92958,67.61506
7,Solids like soil and small pebbles got during treatment of sewage is called primary sludge bacterial flocs sediment formed during the treatment is called activated sludge,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,41.37931034482758,78.719284,88.99671
8,Activated sludge is composed of bacterial sediment formed during biological treatment and primary sludge is composed of small pebbles and soil during the primary treatment of sewage,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,50.0,74.536385,88.3096
9,Sediment formed during primary treatment of sewage and consistes of soil and small pebbles is called primary sludge and bacterial sediment formed during the biological treatment is called activated sludge,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,40.0,74.00892,87.10279
